No,Name,Address,Class,District,Longitude,Latitude,Pop,Envi_Fact
499,RSU Dr. Moh Saleh Probolinggo,Jl. Panjaitan No.65 Probolinggo,B,Kota Probolinggo,113.2103241,-7.748950006,0.328448,0
500,RSU Dr. Soedono Madiun,"Jl. Dr. Soetomo 59, Madiun",B,Kota Madiun,111.5241239,-7.626431745,3.001511,0.181713
501,RSUD Dr. Mohamad Soewandhie,Jl. Tambakrejo 45-47 Surabaya,B,Surabaya,112.7580018,-7.246132853,5.582954,0.081699
502,RS Kristen Mojowarno,"Jl. Merdeka No.59 Mojowarno, Jombang",C,Jombang,112.2436846,-7.5386588,2.976996,0.240169
503,RS Panti Waluya Sawahan,"Jl. Nusakambangan No.56, Malang",C,Kota Malang,112.6264405,-7.987997954,0.467146,0.438815
504,RSUD Genteng,"Jl. Hasanudin No.98,Genteng",C,Banyuwangi,114.1477698,-8.364051783,1.497368,0.491377
505,RSUD Kab. Sampang,"Jl. Rajawali No. 10, Sampang",C,Sampang,113.267686,-7.151122787,0.024255,0.324544
506,RS Adi Husada Hapsari,Jl. Kapasari No. 97-101 Surabaya,C,,112.7510233,-7.247046969,5.629094,0.080601
507,RS Budi Rahayu,Jl. Jend.A Yani 18 Blitar,C,Kota Blitar,112.1720001,-8.099738568,2.721039,0.343615
508,RS Al-irsyad,Jl. KH.Mansyur 210 Surabaya,C,Kota Surabaya,112.7409992,-7.227970934,5.190763,0.080577
509,RSU Dr. Soedomo Trenggalek,Jl. Dr Soetomo No. 2 Trenggalek,C,Trenggalek,111.5241239,-7.626431745,3.001511,0.181713
510,RSUD Bhakti Dharma Husada,"Jl. Raya Kendung No.115-117, Surabaya",C,Kota Surabaya,112.6349217,-7.253378892,4.406381,0.045202
511,RS PT Semen Gresik,Jl. R A Kartini No. 280 Gresik,C,Gresik,112.6419983,-7.165828902,2.600533,0.097543
512,"RSUD kab, Pacitan",Jl. Jen A Yani No. 51 Pacitan,C,Pacitan,111.1020433,-8.201250003,1.284197,0.925338
513,RSU Blambangan,Jl. Istiqlah No. 49 Banyuwangi,C,Banyuwangi,114.3582394,-8.23628516,1.844126,0.453157
514,RSUD dr. Abdoer Rahem Situbondo,Jl. Anggrek No. 68 Situbondo,C,Situbondo,114.0147682,-7.702981133,0.220059,0.256193
515,RSU Islam Orpeha,Jl. KHR Abdul Fatah Tulungagung,C,Tulungagung,111.8831172,-8.05260141,1.141048,0.042296
516,RS Utama Husada,"Jl. Manggar No.134 Tegalsari, Ambulu Jember",C,Jember,113.6950016,-8.160855007,1.364834,0.413273
517,RSUD Balung,"Jl. Rambipuji 19, Balung Jember",C,Jember,113.5393032,-8.271043853,0.916998,0.613859
518,RSU Waluyo Jati Kraksaan,Jl. Dr Sutomo No. 1 Kraksaan,C,Probolinggo,113.4374038,-7.761832349,0.696332,0.588964
519,RSUD Bangil,Jl. Raci - Bangil,C,Pasuruan,112.8305246,-7.608376845,0.040563,0.539017
520,RSU Kertosono,Jl. Supriadi No. 29 Kertosono.,C,Nganjuk,112.1258484,-7.592636219,0.629284,0.596489
521,RSUD Panti Waluyo,Jl. A Yani Km 2 Caruban Madiun,C,Madiun,111.6556942,-7.538814869,0.097644,0.352729
522,RSU Dr. Saydiman Magetan,Jl. Pahlawan No.2 Magetan,C,Magetan,111.3349198,7.652834083,1.110477,0.189834
523,RSU Dr. Soeroto Ngawi,"Jl. Dr Wahidin 27, Ngawi",C,Ngawi,111.4450017,-7.392681209,0.397356,0.626155
524,RSU Muh Anwar Sumenep,Jl. Dr Cipto No. 42 Sumenep,C,Sumenep,113.8637295,-7.015334242,1.223357,0.224298
525,RSU Marsudi Waluyo,Jl. Raya Mondoroko Km. 9 Singosari Malang,C,Kota Malang,112.6555094,-7.905723081,1.429422,0.593747
526,RS Islam Malang,Jl. M. T. Haryono No. 139 Malang,C,Kota Malang,112.6086933,-7.940267737,6.874103,0.427564
527,RSU Dr. R.Soedarsono Pasuruan,Jl. Dr Wahidin Sudirohusodo No. 1-4 Pasuruan,C,Kota Pasuruan,112.8989986,-7.66420925,2.563982,0.310317
528,RSU Dr. Wahidin S Husodo,Jl. Gajah Mada 100 Mojokerto,C,Mojokerto,112.4370937,-7.465088092,4.913356,0.091796
529,RS Islam Sakinah,Jl. RA Basuni No.12 Mojokerto,C,Mojokerto,112.4240017,-7.496261667,2.526931,0.073133
530,RSUD RA.Basoeni,"Jl. Raya Gedeg No.17,Kab.Mojokerto",C,Mojokerto,112.4097951,-7.455995985,0.538919,0.071176
531,RSUD Kota Madiun,"Jl. Campursari No.12,Madiun",C,Kota Madiun,111.5222779,-7.626592273,3.001511,0.181713
532,RS Islam Surabaya,Jl. Jend A Yani 2-4 Surabaya,C,Surabaya,112.7407049,-7.323511634,5.721375,0.159163
